Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100p","C_0402_1005Metric",0.250000,6.250000,180.000000,top
"C2","10u","C_0402_1005Metric",0.250000,5.000000,180.000000,top
"J1","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Horizontal",-10.750000,16.975000,180.000000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Horizontal",-10.750000,10.475000,180.000000,top
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Horizontal",-10.750000,3.975000,180.000000,top
"J4","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Horizontal",-10.750000,-2.525000,180.000000,top
"J5","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",-24.250000,-24.000000,90.000000,top
"J6","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",24.250000,-24.000000,90.000000,top
"J7","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",-24.250000,24.000000,-90.000000,top
"J8","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",24.250000,24.000000,-90.000000,top
"R1","10k","R_0402_1005Metric",-8.250000,20.000000,90.000000,top
"R2","10k","R_0402_1005Metric",-8.250000,13.500000,90.000000,top
"R3","10k","R_0402_1005Metric",-8.250000,7.000000,90.000000,top
"R4","10k","R_0402_1005Metric",-8.250000,0.500000,90.000000,top
"R5","100r","R_1210_3225Metric",-24.250000,-19.500000,-90.000000,top
"R6","100r","R_1210_3225Metric",14.000000,-19.250000,-90.000000,top
"R7","1k","R_0402_1005Metric",-1.500000,4.500000,90.000000,top
"U1","S6B-PH-K-S-(LF)(SN)","CONN-TH_6P-P2.00_S6B-PH-K-S-LF-SN",0.000000,14.750000,180.000000,top
"U2","TLC59116IRHBR","PG-VQFN-32_L5.0-W5.0-P0.50-BL-EP3.6",0.000000,0.000000,-90.000000,top
